@id,dct:modified,dct:publisher,ldp:membershipPredicate,owl:versionInfo,rdf:type,rdfs:label,reg:containedItemClass,reg:delegationTarget,reg:forwardingCode,reg:manager,reg:owner,reg:subregister
<http://codes.wmo.int/49-2/observation-type/IWXXM>,'2017-11-23T11:06:16.632Z'^^xsd:dateTime,<http://codes.wmo.int/system/organization/wmo>,skos:member,4,skos:Collection|ldp:Container|reg:Register,ICAO IWXXM observation types,skos:Collection,"","",<http://codes.wmo.int/system/organization/www-dm>,<http://codes.wmo.int/system/organization/wmo>,<http://codes.wmo.int/49-2/observation-type/IWXXM/2.1>|<http://codes.wmo.int/49-2/observation-type/IWXXM/1.0>
<http://codes.wmo.int/49-2/observation-type/iwxxm>,"","","","",skos:Collection|reg:Delegated|reg:NamespaceForward,iwxxm forward,"",<http://codes.wmo.int/49-2/observation-type/IWXXM>,'301',"","",""
