@id,@notation,@status,rdf:type,rdfs:label,reg:notation
<http://codes.wmo.int/306/4678/+SGPL>,+SGPL,stable,skos:Concept,'Heavy precipitation of snow grains and ice pellets'@en,""
<http://codes.wmo.int/306/4678/+SGPLSN>,+SGPLSN,stable,skos:Concept,"'Heavy precipitation of snow grains, ice pellets and snow'@en",""
<http://codes.wmo.int/306/4678/+SGRA>,+SGRA,stable,skos:Concept,'Heavy precipitation of snow grains and rain'@en,""
<http://codes.wmo.int/306/4678/+SGRADZ>,+SGRADZ,stable,skos:Concept,"'Heavy precipitation of snow grains, rain and drizzle'@en",""
<http://codes.wmo.int/306/4678/+SGRASN>,+SGRASN,stable,skos:Concept,"'Heavy precipitation of snow grains, rain and snow'@en",""
<http://codes.wmo.int/306/4678/+SGSN>,+SGSN,stable,skos:Concept,'Heavy precipitation of snow grains and snow'@en,""
<http://codes.wmo.int/306/4678/+SGSNPL>,+SGSNPL,stable,skos:Concept,"'Heavy precipitation of snow grains, snow and ice pellets'@en",""
<http://codes.wmo.int/306/4678/+SGSNRA>,+SGSNRA,stable,skos:Concept,"'Heavy precipitation of snow grains, snow and rain'@en",""
<http://codes.wmo.int/306/4678/+SHGR>,+SHGR,stable,skos:Concept,'Heavy showery precipitation of hail'@en,""
<http://codes.wmo.int/306/4678/+SHGRRA>,+SHGRRA,stable,skos:Concept,'Heavy showery precipitation of hail and rain'@en,""
<http://codes.wmo.int/306/4678/+SHGRRASN>,+SHGRRASN,stable,skos:Concept,"'Heavy showery precipitation of hail, rain and snow'@en",""
<http://codes.wmo.int/306/4678/+SHGRSN>,+SHGRSN,stable,skos:Concept,'Heavy showery precipitation of hail and snow'@en,""
<http://codes.wmo.int/306/4678/+SHGRSNRA>,+SHGRSNRA,stable,skos:Concept,"'Heavy showery precipitation of hail, snow and rain'@en",""
<http://codes.wmo.int/306/4678/+SHGS>,+SHGS,stable,skos:Concept,'Heavy showery precipitation of snow pellets/small hail'@en,""
<http://codes.wmo.int/306/4678/+SHGSRA>,+SHGSRA,stable,skos:Concept,'Heavy showery precipitation of snow pellets/small hail and rain'@en,""
<http://codes.wmo.int/306/4678/+SHGSRASN>,+SHGSRASN,stable,skos:Concept,"'Heavy showery precipitation of snow pellets/small hail, rain and snow'@en",""
<http://codes.wmo.int/306/4678/+SHGSSN>,+SHGSSN,stable,skos:Concept,'Heavy showery precipitation of snow pellets/small hail and snow'@en,""
<http://codes.wmo.int/306/4678/+SHGSSNRA>,+SHGSSNRA,stable,skos:Concept,"'Heavy showery precipitation of snow pellets/small hail, snow and rain'@en",""
<http://codes.wmo.int/306/4678/+SHRA>,+SHRA,stable,skos:Concept,'Heavy showery precipitation of rain'@en,""
<http://codes.wmo.int/306/4678/+SHRAGR>,+SHRAGR,stable,skos:Concept,'Heavy showery precipitation of rain and hail'@en,""
<http://codes.wmo.int/306/4678/+SHRAGRSN>,+SHRAGRSN,stable,skos:Concept,"'Heavy showery precipitation of rain, hail and snow'@en",""
<http://codes.wmo.int/306/4678/+SHRAGS>,+SHRAGS,stable,skos:Concept,'Heavy showery precipitation of rain and snow pellets/small hail'@en,""
<http://codes.wmo.int/306/4678/+SHRAGSSN>,+SHRAGSSN,stable,skos:Concept,"'Heavy showery precipitation of rain, snow pellets/small hail and snow'@en",""
<http://codes.wmo.int/306/4678/+SHRASN>,+SHRASN,stable,skos:Concept,'Heavy showery precipitation of rain and snow'@en,""
<http://codes.wmo.int/306/4678/+SHRASNGR>,+SHRASNGR,stable,skos:Concept,"'Heavy showery precipitation of rain, snow and hail'@en",""
<http://codes.wmo.int/306/4678/+SHRASNGS>,+SHRASNGS,stable,skos:Concept,"'Heavy showery precipitation of rain, snow and snow pellets/small hail'@en",""
<http://codes.wmo.int/306/4678/+SHSN>,+SHSN,stable,skos:Concept,'Heavy showery precipitation of snow'@en,""
<http://codes.wmo.int/306/4678/+SHSNGR>,+SHSNGR,stable,skos:Concept,'Heavy showery precipitation of snow and hail'@en,""
<http://codes.wmo.int/306/4678/+SHSNGRRA>,+SHSNGRRA,stable,skos:Concept,"'Heavy showery precipitation of snow, hail and rain'@en",""
<http://codes.wmo.int/306/4678/+SHSNGS>,+SHSNGS,stable,skos:Concept,'Heavy showery precipitation of snow and snow pellets/small hail'@en,""
<http://codes.wmo.int/306/4678/+SHSNGSRA>,+SHSNGSRA,stable,skos:Concept,"'Heavy showery precipitation of snow, snow pellets/small hail and rain'@en",""
<http://codes.wmo.int/306/4678/+SHSNRA>,+SHSNRA,stable,skos:Concept,'Heavy showery precipitation of snow and rain'@en,""
<http://codes.wmo.int/306/4678/+SHSNRAGR>,+SHSNRAGR,stable,skos:Concept,"'Heavy showery precipitation of snow, rain and hail'@en",""
<http://codes.wmo.int/306/4678/+SHSNRAGS>,+SHSNRAGS,stable,skos:Concept,"'Heavy showery precipitation of snow, rain and snow pellets/small hail'@en",""
<http://codes.wmo.int/306/4678/+SHUP>,+SHUP,stable,skos:Concept,'Heavy unidentified showery precipitation'@en,""
<http://codes.wmo.int/306/4678/+SN>,+SN,stable,skos:Concept,'Heavy precipitation of snow'@en,""
<http://codes.wmo.int/306/4678/+SNDZ>,+SNDZ,stable,skos:Concept,'Heavy precipitation of snow and drizzle'@en,""
